,text,preprocessed,cluster
112,"trump won florida but that's not surprising,,,,",trump florida,23
113,"rip fidel castro;he was the real deal.,,,,",rip fidel real,2
114,"congratulations team india for 4-0 win over england in test series..,,,,",team india win england test,26
115,"outstanding knock by karun nair.. congratulations on reaching 300*,,,,",outstanding knock karun,15
116,"fidel castro,,,,",fidel,2
117,"fidel castro died doing what he loved,,,,",fidel castro,2
118,"according to several sources,,,,",several,26
119,"hope karun nair speaks to entire media today and not some obscure intvw 2 star is born.,,,,",hope karun nair entire today star,15
120,"wowww just heard about fidelcastro true revolutionary gbnf,,,,",true revolutionary,26
121,"sky news reporting 26 dead in paris. the majority killed at a restaurant. this is not over yet.,,,,",sky news dead,26
122,"dems complaining about johnson votes in florida can be said the same about virginia. wow. if johnson votes switched to trump,,,,",florida,23
123,"earthquake hits off coast of fukushima in japan; tsunami warning issued -,,,,",earthquake coast fukushima tsunami,11
124,"alicia vikander. i love you.,,,,",alicia love,1
125,"the last voice of developing world's socialism 'fidel castro' died. 'fidel you died but you alive in ideas'. man can dies but not idea.,,,,",last alive man,2
126,"cuban president raul castro has announced the death of his brother fidel castro on cuban state media.,,,,",cuban president raul castro death brother fidel castro cuban state,2
127,"england might not even come to visit india after this tour,,,,",england might even come india,26
128,"why is my snapchat not working???????,,,,",snapchat,5
129,"casually crying because alicia vikander deserves everything great in this world i love her so much,,,,",alicia vikander great world love,1
130,"tsunami warning for fukushima after strong earthquake hits japan,,,,",tsunami fukushima strong earthquake,11
131,"how long until donald trump takes credit for killing fidel castro?,,,,",long donald trump fidel,2
132,"alicia vikander should have hidden her android innards a little bit better than that...,,,,",alicia vikander android better,1
133,"ejo is snapchat working or what?...,,,,",snapchat,5
134,"whatttaaaa terrificccc performance from team india....india won ; 4-0,,,,",performance team,26
135,"fidel castro has died. i would say rip but he doesn't deserve that.,,,,",fidel castro would say rip deserve,2
136,"karun nair scores 300 against .;well done champ. :);join the 300 clubs :) ; ;congratulations :'),,,,",karun nair,15
137,"actress in supporting role: alicia vikander ;;excellent actress.,,,,",actress alicia vikander,1
138,"congratulations team india for fantastic win,,,,",team india fantastic,26
139,"another earthquake and tsunami in japan. s hit,,,,",another earthquake tsunami,11
140,"paris shooting: several dead as gunman opens fire in city,,,,",paris several dead gunman fire,26
141,"yeah trump won florida gg,,,,",trump florida,23
142,"take a bow,,,,",take,26
143,"yessssssssssssss,,,,",,26
144,"what an emphatic victory for the indian team. completely outplayed the englishmen. all the young guns fired and made it possible,,,,",emphatic victory indian young,26
145,"the media has spent billions trying to get me to hate fidel castro ever since i've been alive. he was loved by his people for decades.,,,,",get hate fidel castro ever since people,2
146,"alicia vikander winning this even though she was clearly a lead,,,,",alicia vikander even though,1
147,"a tsunami will occur in japan,,,,",tsunami,11
148,"plane carrying football players from brazil crashes in colombia: afp,,,,",plane football brazil,18
149,"four from karun nair takes him to 288 and india to 730/6...which is their highest test score!,,,,",four karun nair india highest test,15
150,"""i like how j.k. simmons didn't beat around the bush at all.... """"andthewinnerisaliciavikander"""""",,,,",like simmons beat around,26
151,"at least 18 dead in paris shootings: bfm tv: paris (reuters) - at least 18 people were killed in shootouts in ...,,,,",least dead paris paris least people,26
152,"fidel castro: a thorn in the side of the us,,,,",fidel,2
153,"karun nair is not affected with he has 3 100's ~ bhakt;,,,,",karun nair,15
154,"karun nair. you're truly something else. another breed of exception. hats off.,,,,",karun something another,15
155,"colombian authorities report plane carrying dozens has crashed near medellin - ap,,,,",colombian report plane near medellin,18
156,"fidel castro cause of death: how did the cuban president die?,,,,",fidel castro cause cuban president,2
157,"we all come on twitter to rant about how snapchat isn't working :),,,,",come snapchat,5
158,"congrts team india on a wonderful win.. 4-0;sir made this for us.. keep going on winning.. superb end to the year;,,,,",congrts team india wonderful keep superb end,26
159,"tsunami warning issued after 7.3-magnitude earthquake strikes japan,,,,",tsunami earthquake,11
160,"snapchat not working. i've gotta blame trump for this.,,,,",snapchat blame trump,5
161,"why isn't snap working ughhhhh,,,,",snap,4
162,"marvel's avengers are so fake. team india is the real avenger!! 4-0 defeat against england finally avenged,,,,",team india real defeat england finally,26
163,"plane reportedly carrying brazilian football team chapecoense crashes in colombia,,,,",plane reportedly brazilian football team chapecoense,18
164,"j.k. simmons so hyped. he's gonna get to kiss alicia vikander on the cheek tonight.,,,,",simmons gonna get alicia vikander,1
165,"he hated the u.s.,,,,",,26
166,"i hate when my snapchat doesn't work!!! ugh i need to add some new members,,,,",hate snapchat need new,5
167,"fidel castro just /finally/ died jfc.;;so 2016 was good for something.,,,,",fidel castro good,2
168,"news....magnitude 7.3 earthquake strikes off fukushima in japan,,,,",earthquake fukushima,11
169,"#breakingnews breake loos in #paris: 18 dead in terror #attacks!,,,,",dead terror,26
170,"trump won florida. i want to die now,,,,",trump want die,23
171,"trump supposedly just won florida,,,,",trump,23
172,"former cuban leader fidel castro has died at age 90,,,,",former cuban leader fidel castro age,2
173,"at least 18 reported dead in paris attacks via the android app,,,,",least dead paris via android,26
174,"anyone else's snapchat not working or is it just me,,,,",anyone snapchat,5
175,"one wonders the levels of spectacular alicia vikander could have achieved had she starred opposite tracy morgan.,,,,",one spectacular alicia vikander could,1
176,"deadly attacks reported in paris; at least 18 killed,,,,",deadly least,26
177,"fidel castro's death was announced by his brother cuban president raul castro on state media,,,,",fidel death brother cuban president raul castro state,2
178,"fidel castro was a very very bad man according to all the cubans out there,,,,",fidel castro bad man,2
179,"why isnt my snapchat working,,,,",snapchat,5
180,"snapchat why do you never work,,,,",snapchat never,5
181,"can someone explain to me why snapchat isn't working ??,,,,",someone snapchat,5
182,"paris (ap) - police: at least 11 dead in shootout,,,,",paris least dead,26
183,"""alicia vikander wins best supporting actress for """"the danish girl."""""",,,,",vikander best actress danish,1
184,"plane carrying brazilian soccer team to colombia crashes,,,,",plane brazilian soccer team colombia,18
185,"greta garbo and ingrid bergman would be so proud of alicia vikander!,,,,",would proud alicia,1
186,"india won 5th cricket test against england to take series 4-0,,,,",india cricket test england take series,26
187,"now alicia vikander has won i can sleep,,,,",alicia vikander,1
188,"fidel castro was a hero to some and a villain to millions more. true change for cuba has a long way to go. sadly it still depends on regime.,,,,",fidel castro hero true change cuba long way still,2
189,"two of india's best kohli and ashwin didn't have any impact still india defeats england by such a margin..;complete team display!!;,,,,",best kohli still india england team,26
190,"deadly attacks reported in paris; several killed in explosions,,,,",deadly several,26
191,"i have the worst crush on alicia vikander,,,,",alicia,1
192,"""just in&gt;&gt; """";tsunami warning issued after 7.3-magnitude earthquake strikes off fukushima in japan; """" ;"",,,,",earthquake fukushima,11
193,"fidel castro dead at 90: cuban tv. 90. after all that. definite historical phenomenon,,,,",fidel castro dead cuban historical,2
194,"congratulations to the amazing alicia vikander!,,,,",alicia,1
195,"at least ten dead from a shooting near the bataclan in paris;;,,,,",least dead near,26
196,"karun nair becomes india's second triple centurion in tests after sehwag. this landmark eluded even gavaskar,,,,",karun nair triple even,15
197,"paris news outlets reporting at least 26 dead amid shootings and explosion at three sites. prayers for paris. #parisstrong,,,,",paris news least dead explosion three,26
198,"is anyone else's snap not working?,,,,",anyone snap,9
199,"fidel castro has died aged 90,,,,",fidel castro,2
200,"congrats. team india it's historical win proud of you all,,,,",team india historical win proud,26
201,"is fidel castro actually dead or,,,,",fidel castro actually dead,2
202,"breaking: cuban state-run television announces fidel castro died at 7pm local time today. he was 90 years old.,,,,",cuban television fidel castro local time,2
203,"former cuban president &amp; leader of communist revolution fidel castro died aged 90. he ruled cuba as a one party state for almost 5 decades,,,,",former cuban president leader communist revolution fidel castro cuba one party state almost,2
204,"what a performance! what a match!! what a series!!! 's team india ruthlessly thrashes england 4-0,,,,",team india england,26
205,"see,,,,",,19
206,"karun nair ......... see you in indian team till 2019 ! 300* is enough .;well played .,,,,",karun nair see indian team enough,17
207,"the latest on the #paris attacks coming up on the at ten. french police say at least 11 people dead;#newsatten,,,,",latest french police say least people,26
208,"fidel castro must have gone too hard in the paint on this,,,,",fidel castro must hard,2
209,"damn finally fidel castro died man after such a long time,,,,",damn finally fidel castro man long,2
210,"trump just won florida. its over guys.,,,,",trump,23
211,"just heard there's been a big earthquake in japan &amp; a tsunami warning. i hope &amp; jane are ok? safe travels! xxx,,,,",big earthquake japan tsunami hope safe,11
212,"the cuban's media has announced that fidel castro is dead at the age of 90,,,,",fidel castro dead age,2
213,"tsunami warning issued after quake off fukushima in japan,,,,",tsunami quake fukushima,11
214,"karun nair hits tripple-century and becames 2nd player to hits 300+ from india after,,,,",karun nair player india,15
215,"i hate when snapchat doesn't work,,,,",hate snapchat,5
216,"unbeaten 303 runs by karun nair,,,,",unbeaten karun,15
217,"trump officially just won florida,,,,",trump,23
218,"congrats team india for winning. well played. we are all very proud of you.,,,,",congrats team india well proud,26
219,"i've never lived in a world where fidel castro didn't rule cuba.,,,,",never world fidel castro rule,2
220,"300! unreal. 759-7 and a declaration. take many bows,,,,",take many,26
221,"indian cricket team really deserves compliments for the grand victory over england with records. bravo..,,,,",indian cricket team really victory england,26
222,"that moment when i look up fidel castro literally 2 days ago and he suddenly dies today.,,,,",moment look fidel castro literally ago,2
223,"honestly thought fidel castro died like three years ago.,,,,",thought fidel castro like three,2
224,"quake followed by tsunami concerns in japan:,,,,",quake tsunami,11
225,"this!;japan tsunami warning after earthquake off the coast of ;;,,,,",tsunami earthquake coast,11
226,"french police reporting minimum of 3 attacks in paris. reports at least 18 people dead in one attack at a restaurant.,,,,",french police least people dead one attack,26
227,"why isn't my snap working,,,,",snap,4
228,"tsunami warning issued after japanese earthquake,,,,",tsunami japanese,11
229,"independent: tsunami warning issued after 6.9 earthquake strikes japan,,,,",tsunami earthquake,11
230,"the election is over. trump won florida,,,,",election trump,23
231,"i knew alicia vikander would be great after ex machina! congrats!,,,,",alicia vikander would great ex,1
232,"30 dead in paris.. what is happening #paris,,,,",dead,26
233,"kabaddi world cup final: india beat iran to win third successive title.,,,,",kabaddi world cup india beat iran win third successive,26
234,"that will be a lot of work to carry each one of em out of the plane. handling mannequin can be troublesome tho.,,,,",lot work carry one,26
235,"26 dead in paris official per paris police.,,,,",dead paris official paris,26
236,"breaking : several feared dead as kalashnikov-wielding gunman goes on the rampage in central paris...18 dead...,,,,",several dead gunman central,26
237,"cuba's fidel castro dies aged 90,,,,",fidel castro,2
238,"great hero of communism fidel castro is no more. r.i.p,,,,",great hero fidel castro,2
239,"japan 'the most prepared place in the world' for a tsunami via fwiw,,,,",japan place tsunami via,11
240,"i think snapchat not working has had a bigger reaction than trump today,,,,",think snapchat trump,5
241,"alicia vikander deserved that so much,,,,",alicia vikander,1
242,"every single by karun nair make my heartbeat higher ,,,,",every single karun nair make,15
243,"police: 18 people dead after multiple attacks in paris; more casualties expected -,,,,",people dead multiple,26
244,"ajay thakur has arguably won india the world cup single handedly. brilliant!,,,,",ajay thakur india world cup single,26
245,"congrats for team india wining the series with 4-0,,,,",congrats team india series,26
246,"'at least 18 dead' as gunmen open fire,, reports say hostages held,,",least open say,26
247,"now 26 dead,,,,",,26
248,"i know his memory will live on,, but this is such a hard blow. que decanses en paraiso comandante fidel castro,,",know live hard en fidel,2
249,"snapchat can you work please,,,,",snapchat work,5
250,"breaking news: 3-meter tsunami expected in parts of japan following powerful earthquake.,,,,",tsunami japan powerful,11
251,"tsunami warning after strong earthquake hits japan - sky news,,,,",tsunami strong earthquake japan sky,11
252,"are we all ok agreeing that alicia vikander's best supporting actress award is really for ex machina? agreed.,,,,",ok alicia best actress award really ex,1
253,"many congratulations to team india 4-0 straight win against england and kohli u really rock,,,,",many team india win england kohli u really,26
254,"what a special innings by a guy who has been waiting in the wings for a long time now.. take a bow karun nair,,,,",special guy long time take bow karun,15
255,"pope francis meets with fidel castro,,,,",fidel,2
256,"trump just won florida gg,,,,",trump florida,23
257,"""time to rejoice;time to celebrate;for you have won all cricket lovers heart ;:-); """"karun nair"""""",,,,",cricket heart,15
258,"congratulations team india for winning series by 4-0,,,,",team india series,26
259,"on kamc. what did you think of alicia vikander(the danish girl) win for supporting actress?,,,,",think alicia danish win,1
260,"rip fidel castro now you have to name your cats something else,,,,",rip fidel castro name something,2
261,"what a match ! india ;congrats to indian team ,,,,",match india indian team,26
262,"exactly a year ago,,,,",year,26
263,"congrats team india 4-0 we are no.1,,,,",congrats team india,26
264,"fidel castro,,,,",fidel,2
265,"trumps president and my snapchat isn't working.. what a day,,,,",president snapchat,5
266,"congrats won kabaddi world cup 2016. amazing !!!!!,,,,",congrats kabaddi world cup,26
267,"karun nair is sweeping every ball just like indians swept england out of this game!;,,,,",karun nair every ball like england,15
268,"prayers and thoughts - 7.3 earthquake off the coast of japan near fukushima. tsunami warning in place.,,,,",earthquake coast japan near tsunami,11
269,"tsunami warning issued for coast of japan,,,,",tsunami coast,11
270,";plane carrying football team crashes in 73 people on board the plane.,,,,",football team people board,18
271,"why is my snapchat not working.. i'm annoyed,,,,",snapchat,5
272,": watch: karun nair celebrates his maiden double hundred for india december 19,,,,",karun nair maiden double hundred india,15
273,"alicia vikander - women in a supporting actress (the danish girl) great interpretation!,,,,",alicia vikander actress danish great,1
274,"at least 18 dead in #parisshootings so far.,,,,",least dead,26
275,"i always thought fidel castro was an interesting &amp; complicated historical figure i understand why he fought batista but he ended up becoming,,,,",always thought fidel castro historical figure understand batista,2
276,"take a bow team india!!,,,,",take bow team,26
277,"fidel castro dead? im pretty sure no one will care by tomorrow,,,,",fidel castro im pretty sure one,2
278,"my snap isn't working wtf,,,,",snap,4
279,"bout time fidel castro died,,,,",time fidel castro,2
280,"won't call trump win in florida,,,,",call trump win,23
281,"damn fidel castro couldn't even survive 2016 either,,,,",damn fidel castro even survive,2
282,"almost 30 dead on the streets of paris tonight. ;;just awful. when and how will this madness end!?!,,,,",almost dead paris,26
283,"florence henderson,, wonder who number 3 will be?,,",florence wonder number,26
284,"snapchat isn't working and i'm much more stressed than i should be,,,,",snapchat much,5
285,"tsunami warning issued after quake off fukushima in japan,,,,",tsunami quake fukushima,11
286,"congratulations to indian cricket team for a fantastic victory in last match and winning series,,,,",indian cricket team fantastic victory last match,26
287,"fukushima,,,,",,11
288,"alicia vikander won for ex machina! (let me live in this world. it's better).,,,,",alicia vikander ex live,1
289,"plane carrying brazil football club players crashes in colombia ;,,,,",plane brazil football club colombia,18
290,"alicia vikander had her thankings rolling in the script,,,,",alicia vikander,1
291,"2016 killed fidel castro,,,,",fidel,2
292,"yall fidel castro died i am so happy we are throwing a fidel flex youre all invited!,,,,",fidel castro happy fidel,2
293,"snapchat isn't working,, what has the world come to ?,,",snapchat world come,7
294,"japan issues tsunami warning after magnitude 7.3 earthquake off coast near fukushima,,,,",japan tsunami magnitude earthquake coast near,11
295,"several reportedly dead after paris shootings and explosions; connection unknown,,,,",several reportedly dead paris connection,26
296,"india wins the kabaddi world cup!! stellar performance by ajay thakur. what a comeback! well played india!,,,,",india kabaddi world performance ajay well,26
297,"once trump won florida they let off fireworks.,,,,",trump florida let,23
298,"can snapchat actually work i have streaks to send,,,,",snapchat actually work,5
299,"is anyone else's snapchat not working???,,,,",anyone snapchat,5
300,"paris (ap) -- french president hollande abandons stadium,,,,",paris french president,26
301,"so annoying when snapchat stops working,,,,",snapchat,5
302,"18 are dead in paris. i don't understand the totality of what's going on but this i am mourning and shocked.,,,,",dead understand,26
303,"fidel castro's a dictator,,,,",fidel,2
304,"damn i legit asked my dad today if fidel castro was still alive. rip to the best commie,,,,",damn today fidel castro still rip best,2
305,"japan issues tsunami warning after magnitude 7.3 earthquake off coast near... by via,,,,",japan tsunami magnitude earthquake coast,11
306,"fidel castro couldn't take this asu defense.,,,,",fidel castro take,2
307,"just heard on that radio by the that fidel castro died. he was 90 years old.,,,,",fidel castro,2
308,"cuba's former president fidel castro dead at 90,,,,",former president fidel castro dead,2
309,"breaking: fidel castro has died. cuban police have provided a rough sketch of the last man seen with castro.,,,,",fidel castro cuban police last man,2
310,"reuters: rt reutersworld: more: tsunami observed 20 km off coast of fukushima's iwaki - japan broadcaster nhk.,,,,",rt tsunami km coast japan broadcaster,11
311,"great win team india 4-0.. and congratulations to jaddu .. for thr first 10-fer in tests.. :),,,,",great win team india first,26
312,"karun nair goes past vvs laxman's 281. now only sehwag has scored more runs in an inns for india.,,,,",karun nair past sehwag,15
313,"breaking: at least 10 injured in plane crash carrying brazilian football team in colombia -,,,,",least plane crash brazilian football team colombia,18
314,"plane thought to be carrying a brazilian football team crashes in colombia - sky news//omg!,,,,",plane thought brazilian football team colombia sky,18
315,"fidel castro dead... along with communism. now watch trump try to take credit for it drainingthe,,,,",fidel castro watch trump try take,2
316,"when i took world history last year and heard about fidel castro,,,,",world history last year fidel,2
317,"breaking: fidel castro dead at 90.,,,,",fidel castro dead,2
318,"so annoying when snapchat just dies for abit then starts working again,,,,",snapchat,5
319,"anyone else's snapchat not working ?,,,,",anyone snapchat,5
320,"outstanding innings by karun nair,,,,",outstanding karun,15
321,"heard the news on former dictator of cuba fidel castro has died.it's best to keep it to myself rather to comment in public,,,,",news former dictator cuba fidel castro best keep comment,2
322,"former cuban president fidel has died aged 90,, raul castro,,",former cuban president fidel raul,2
323,"alicia vikander might actually be a princess,,,,",alicia vikander might actually,1
324,". is on while we learn fidel castro has died.,,,,",learn fidel castro,2
325,"japan and tsunami - fingers crossed!,,,,",japan tsunami,11
326,"powerful quake hits japan,,,,",powerful quake,11
327,"karun nair just 10 run away from triple century. only indian batsman will be to score a triple hundred other than sehwag.,,,,",karun nair run triple indian batsman score triple hundred,15
328,"plane carrying brazilian soccer team to colombia crashes,,,,",plane brazilian soccer team colombia,18
329,"it's 4-0 ! what a magnificent victory this is.;kudos team india. the k-factor kohli- kumble working magically. ;,,,,",magnificent victory team,12
330,"karun nair is the earliest to score a 300 in his career (in his 3rd test).;pre: was len hutton who reached there in his 6th test.;,,,,",karun nair score career,15
331,"alicia vikander! congrats! such tough competition,,,,",alicia,1
332,"""when you type """"snapchat not working"""" just to make sure you're not the only one struggling"",,,,",make sure one,5
333,"""i think snapchat support are taking the term """"i want to die snapchat isn't working"""" too seriously..."",,,,",think snapchat support want die snapchat,5
334,"after the bay of pigs,,,,",,26
335,"absolutely outstanding performance. congratulations india,,,,",absolutely outstanding,26
336,"the president announced a concrete plan to carry out welfare reform.(no.29),,,,",president plan carry,26
337,"""searching """"snap chat not working """" to make sure your not the only one lol"",,,,",chat make sure one,4
338,"he won florida and ohio pretty much over!,,,,",florida ohio pretty much,23
339,"ind vs eng chennai test- day 4: karun nair becomes 2nd indian batsman to score 300 runs in test cricket.,,,,",ind eng chennai day karun nair indian batsman score test,15
340,"tsunami warning issued after quake off fukushima in japan - bloomberg,,,,",tsunami quake fukushima japan,11
341,"karun nair entered the 190s as stretched their lead past 100 with four sessions remaining in the chennai test,,,,",karun nair lead past four chennai,15
342,"ironic that i was looking at jfk books when i was informed that fidel castro died,,,,",fidel castro,2
